Pincode,Date,Unemployment Rate (%),Student Absentees,Eviction Count,Avg Household Income,Avg Temperature (°C),Flu Cases,Suicidal Cases,Emergency Cases,Hospital Admissions
560001,2007-06-01,6.07,112,4,22592.0,32.1,24,4,16,27
560001,2010-10-01,5.35,131,2,29395.0,24.9,14,5,22,19
560001,2014-08-01,6.32,117,9,25064.0,23.4,22,1,19,30
560001,2019-06-01,7.74,130,11,25894.0,31.1,16,4,17,15
560002,2021-06-01,5.0,129,4,23443.0,29.0,21,1,15,35
560003,2015-03-01,4.91,117,7,19294.0,30.9,24,4,15,35
560003,2016-09-01,5.8,128,4,27816.0,26.1,25,6,20,12
560003,2017-07-01,8.02,106,6,30848.0,29.2,18,2,13,22
560004,2013-12-01,4.43,134,3,27794.0,28.2,23,3,17,31
560004,2019-04-01,6.14,90,9,19219.0,22.1,17,4,20,25
560005,2006-03-01,5.35,109,7,19070.0,30.3,14,2,19,22
560005,2006-05-01,8.93,105,5,28543.0,26.9,27,1,19,24
560005,2013-04-01,9.03,145,5,25263.0,29.6,25,3,10,24
560006,2005-08-01,7.47,121,2,30694.0,28.2,15,4,18,31
560006,2008-04-01,5.3,100,10,28628.0,28.3,16,3,18,26
560006,2013-12-01,7.19,116,4,22099.0,24.8,23,2,12,25
560006,2023-06-01,2.44,143,4,14232.0,28.2,26,5,15,23
560007,2021-09-01,8.38,104,7,29057.0,23.7,25,3,12,29
560007,2024-02-01,1.91,123,1,26057.0,28.0,21,4,18,23
560008,2010-03-01,4.31,126,5,25546.0,29.6,17,2,16,23
560008,2021-01-01,4.96,128,4,31277.0,30.8,13,1,10,19
560008,2021-10-01,4.85,108,5,21367.0,28.8,22,0,18,24
560009,2011-07-01,7.9,116,5,29281.0,30.1,23,4,15,23
560009,2023-12-01,7.52,123,6,23927.0,30.6,21,4,15,29
560010,2005-02-01,4.59,125,3,28355.0,30.5,15,3,19,22
560010,2007-04-01,5.01,93,5,27185.0,22.8,17,7,11,30
560010,2020-08-01,5.29,123,3,26665.0,29.8,21,1,11,26
560011,2009-08-01,7.03,114,6,21561.0,23.9,24,1,20,28
560011,2019-05-01,3.76,120,6,23048.0,28.2,19,4,17,17
560012,2009-03-01,8.62,113,6,28642.0,33.1,20,2,16,33
560012,2010-02-01,2.77,128,3,25200.0,23.9,16,4,12,26
560012,2013-03-01,6.47,138,5,26755.0,27.8,15,0,15,24
560012,2014-01-01,7.09,137,5,26127.0,33.2,22,2,10,32
560012,2022-09-01,5.11,112,3,26999.0,28.9,25,2,19,19
560013,2010-09-01,5.71,113,5,29021.0,23.7,16,0,18,22
560013,2011-12-01,7.24,109,8,26358.0,30.8,24,5,17,26
560013,2014-10-01,8.24,105,3,15454.0,25.4,22,3,12,27
560013,2014-11-01,7.4,128,7,21451.0,26.0,21,4,16,29
560013,2016-07-01,5.09,135,6,17545.0,29.3,10,3,14,32
560013,2017-12-01,5.61,133,7,12548.0,29.5,13,1,15,16
560015,2009-10-01,9.05,102,5,31511.0,25.9,26,2,10,37
560015,2013-08-01,10.0,123,5,24227.0,27.0,19,4,18,25
560015,2020-09-01,6.04,106,8,24236.0,30.9,14,2,18,26
560016,2009-10-01,6.63,108,5,37515.0,32.5,17,4,17,25
560016,2012-04-01,7.39,94,2,25271.0,21.9,17,3,9,22
560016,2012-08-01,4.71,111,4,29532.0,30.5,23,7,13,25
560017,2013-05-01,4.88,113,5,20065.0,28.3,14,2,11,23
560017,2015-09-01,8.11,117,3,29079.0,26.5,16,5,20,25
560017,2016-01-01,4.18,125,7,24673.0,29.4,22,4,15,34
560017,2016-04-01,5.6,119,7,20235.0,26.4,22,5,23,23
560017,2017-05-01,4.36,117,7,30789.0,28.2,20,3,14,19
560017,2018-06-01,6.64,127,13,31645.0,28.4,22,3,12,29
560018,2009-09-01,6.69,96,6,20407.0,33.5,21,4,14,25
560018,2017-02-01,6.05,116,2,20686.0,31.2,18,3,16,27
560018,2017-04-01,11.34,129,4,22826.0,31.1,15,2,13,24
560018,2017-07-01,4.89,133,7,13830.0,31.7,16,5,14,21
560018,2018-05-01,9.6,112,3,19519.0,25.6,19,3,15,23
560018,2022-11-01,5.53,115,6,22356.0,28.1,24,4,11,28
560020,2009-07-01,4.42,113,4,14387.0,24.8,14,2,17,23
560021,2005-09-01,4.7,126,4,32331.0,24.2,16,5,8,27
560021,2007-08-01,7.52,112,2,16073.0,30.8,21,2,11,31
560021,2011-09-01,6.99,112,3,26598.0,26.8,17,2,10,26
560021,2014-06-01,6.33,131,11,30357.0,36.0,19,1,18,41
560021,2014-08-01,6.43,106,3,28104.0,29.6,22,2,9,13
560021,2018-03-01,6.93,124,7,23274.0,33.2,23,5,14,30
560021,2018-09-01,11.43,130,4,18527.0,27.3,15,5,16,27
560021,2022-06-01,6.21,130,8,29579.0,27.1,27,3,9,27
560022,2006-01-01,7.47,129,7,27638.0,25.5,17,3,9,27
560022,2013-05-01,4.03,107,6,25765.0,24.5,21,2,17,22
560023,2014-08-01,7.1,126,7,24048.0,27.0,15,3,21,20
560023,2017-08-01,6.08,118,3,21543.0,20.6,14,5,11,16
560023,2019-01-01,5.83,125,3,35259.0,34.6,17,1,14,20
560023,2019-04-01,6.7,118,4,25906.0,28.7,20,2,14,25
560023,2019-11-01,5.63,113,3,29241.0,30.2,18,1,18,27
560023,2021-03-01,6.98,125,3,22498.0,25.7,18,2,10,32
560024,2005-12-01,8.53,125,3,27255.0,33.9,21,3,11,21
560024,2019-02-01,5.82,107,5,35239.0,26.7,18,3,17,20
560024,2019-07-01,9.53,121,9,17864.0,26.0,21,1,20,29
560024,2024-05-01,6.48,125,2,21956.0,27.4,19,2,10,26
560027,2007-01-01,2.08,125,7,31330.0,30.7,18,3,12,27
560027,2008-08-01,8.79,107,5,24523.0,27.3,22,2,12,24
560027,2009-06-01,9.17,117,4,28223.0,27.3,17,2,21,19
560027,2011-04-01,8.54,123,6,33870.0,29.5,11,6,11,34
560027,2013-05-01,8.45,113,0,26865.0,25.6,16,2,19,32
560029,2008-09-01,8.16,134,12,24190.0,27.1,32,0,15,29
560029,2008-12-01,7.74,143,4,31669.0,30.0,17,1,10,23
560029,2015-05-01,9.95,114,4,25435.0,31.5,15,3,19,22
560029,2018-04-01,6.37,134,3,27545.0,26.9,23,3,14,27
560029,2021-07-01,4.61,102,4,30153.0,27.5,9,2,17,21
560030,2007-03-01,6.42,121,5,25680.0,29.5,21,2,15,24
560030,2012-03-01,6.89,112,3,22603.0,26.7,17,2,20,30
560030,2013-02-01,7.74,106,7,33156.0,22.5,12,2,13,24
560030,2017-07-01,4.79,122,5,27088.0,28.8,15,2,23,30
560032,2018-04-01,6.39,118,5,18018.0,27.5,20,2,13,28
560033,2006-09-01,4.76,106,4,22506.0,34.6,26,4,15,34
560033,2010-01-01,5.99,128,4,23614.0,29.1,25,2,26,25
560033,2010-02-01,4.52,109,4,21669.0,28.8,24,5,19,25
560033,2014-12-01,7.49,92,3,24155.0,28.5,25,2,12,26
560033,2020-01-01,9.08,116,5,14946.0,36.0,20,5,7,28
560034,2007-05-01,9.86,126,5,26865.0,31.9,16,3,12,20
560034,2009-03-01,5.6,126,4,25321.0,24.4,15,2,21,22
560034,2014-10-01,5.21,110,4,27818.0,28.7,18,4,17,28
560035,2005-12-01,5.96,121,7,19685.0,26.9,17,2,10,27
560035,2012-05-01,10.38,101,3,24496.0,30.3,14,3,13,25
560035,2020-07-01,5.94,128,6,30905.0,25.5,19,1,13,22
560035,2023-09-01,7.23,126,3,31668.0,28.7,17,1,15,17
560036,2007-03-01,5.08,137,4,30392.0,24.1,18,1,10,19
560036,2013-03-01,3.87,125,1,29799.0,29.6,22,3,20,26
560036,2018-03-01,5.91,119,6,22146.0,33.7,18,3,15,29
560036,2020-11-01,7.57,130,7,23805.0,30.9,17,3,14,31
560037,2005-02-01,10.71,109,5,24169.0,27.7,20,3,15,25
560037,2009-07-01,5.38,114,4,17178.0,29.3,22,5,20,13
560038,2013-11-01,5.29,148,4,24854.0,24.6,26,4,8,29
560040,2006-06-01,4.74,130,7,19402.0,29.8,14,8,15,22
560040,2009-02-01,6.31,114,2,29764.0,27.9,19,4,9,22
560041,2008-09-01,5.0,126,2,29563.0,23.9,30,3,17,22
560041,2018-07-01,7.91,124,8,26033.0,32.7,22,4,15,23
560041,2022-11-01,4.52,126,8,30974.0,30.1,15,3,13,23
560042,2018-12-01,4.75,115,6,16903.0,27.1,20,4,14,19
560043,2016-10-01,7.4,117,6,17764.0,27.9,28,1,17,24
560043,2018-03-01,2.41,101,8,25581.0,28.3,18,2,15,27
560045,2012-06-01,10.64,120,4,25681.0,21.6,20,3,16,24
560045,2013-04-01,6.83,113,8,19572.0,27.2,16,1,16,24
560045,2016-07-01,5.17,135,3,32856.0,28.0,17,2,17,17
560045,2019-12-01,6.84,101,6,19601.0,30.7,17,0,10,21
560045,2022-10-01,7.03,133,4,24698.0,28.0,16,2,15,17
560046,2010-08-01,5.45,140,4,28597.0,28.1,22,6,14,19
560046,2015-06-01,5.92,140,4,22468.0,22.9,20,0,10,30
560046,2016-06-01,5.27,133,8,28312.0,22.8,15,7,21,22
560046,2023-01-01,5.66,115,8,22251.0,21.6,27,4,7,17
560047,2022-10-01,4.61,123,4,23995.0,29.2,16,2,20,23
560048,2015-12-01,5.62,109,4,24071.0,30.3,16,5,17,38
560048,2023-11-01,7.46,117,6,33877.0,28.5,28,2,13,30
560049,2006-09-01,8.92,120,5,26844.0,33.2,19,0,11,31
