Pincode,Date,UnemploymentRate,SchoolAttendance,EvictionRecords,IncomeVariability,SeasonalIllnessIndex,HospitalAdmissions
572124,2018-01-01,9.04,97.18,39,1598.39,18.15,62.31
572124,2018-01-02,4.93,85.02,17,3942.99,79.64,113.71
572124,2018-01-03,4.74,83.62,23,4066.12,39.22,74.76
572124,2018-01-04,7.21,81.95,4,4673.52,39.22,70.32
572124,2018-01-05,12.3,92.35,2,2611.56,62.98,104.53
572124,2018-01-06,7.34,82.41,4,2603.68,22.96,39.61
572124,2018-01-07,8.44,92.22,10,2523.15,87.73,125.36
572124,2018-01-08,5.46,90.91,39,3076.42,5.89,34.11
572124,2018-01-09,4.36,99.15,4,1266.92,38.38,62.73
572124,2018-01-10,12.04,93.61,42,1005.3,8.47,65.09
572124,2018-01-11,4.16,87.93,5,2014.24,95.5,127.47
572124,2018-01-12,9.58,81.81,13,1919.44,86.15,128.01
572124,2018-01-13,12.01,81.23,27,1584.76,25.5,69.03
572124,2018-01-14,5.97,87.05,29,4304.7,33.71,69.39
572124,2018-01-15,11.42,97.78,39,3822.88,78.14,144.53
572124,2018-01-16,11.84,80.14,30,1006.21,93.38,152.37
572124,2018-01-17,3.53,85.14,7,2157.79,92.58,119.93
572124,2018-01-18,5.83,90.4,38,4111.37,23.5,54.48
572124,2018-01-19,5.97,91.54,34,4480.52,48.4,91.95
572124,2018-01-20,10.16,81.4,1,2084.44,19.06,48.53
572124,2018-01-21,9.57,94.84,21,4125.89,99.71,159.91
572124,2018-01-22,10.94,84.75,39,1578.88,76.42,131.48
572124,2018-01-23,11.11,97.15,9,1946.69,96.64,139.6
572124,2018-01-24,8.61,98.54,14,4391.62,51.8,82.73
572124,2018-01-25,3.92,90.74,19,3887.89,20.09,43.54
572124,2018-01-26,7.3,80.7,39,3551.62,7.56,45.08
572124,2018-01-27,6.15,94.36,22,1981.17,82.38,116.12
572124,2018-01-28,5.85,86.09,29,2572.56,41.44,78.59
572124,2018-01-29,7.24,81.51,46,4620.67,53.37,91.24
572124,2018-01-30,4.37,85.32,0,1454.71,28.1,44.0
572124,2018-01-31,6.86,94.39,15,2376.02,81.82,120.11
572124,2018-02-01,7.26,92.91,32,4423.7,81.44,130.32
572124,2018-02-02,8.87,92.32,24,3950.52,67.29,101.64
572124,2018-02-03,5.47,82.12,23,3272.58,19.71,43.4
572124,2018-02-04,11.31,94.95,33,2988.8,98.18,157.68
572124,2018-02-05,3.5,99.61,2,2951.72,79.26,103.79
572124,2018-02-06,11.46,81.3,36,1598.3,5.45,44.13
572124,2018-02-07,7.01,99.88,38,3280.66,57.87,96.14
572124,2018-02-08,11.32,97.86,15,4321.87,3.98,30.73
572124,2018-02-09,11.33,95.52,5,2241.8,46.51,76.85
572124,2018-02-10,8.48,83.13,37,4142.33,46.83,84.56
572124,2018-02-11,5.71,85.67,31,3534.85,39.64,77.28
572124,2018-02-12,10.83,89.21,27,1856.46,50.13,97.18
572124,2018-02-13,11.06,85.94,4,2821.8,76.49,116.16
572124,2018-02-14,8.32,87.92,7,4201.86,39.23,57.55
572124,2018-02-15,10.76,92.7,47,1626.11,46.46,94.51
572124,2018-02-16,9.5,96.92,31,2081.41,26.43,70.49
572124,2018-02-17,9.15,99.78,45,4084.67,81.85,135.5
572124,2018-02-18,9.54,87.33,33,2357.18,3.23,36.25
572124,2018-02-19,12.43,97.87,43,3782.64,98.97,162.29
572124,2018-02-20,3.58,92.02,37,4600.3,60.14,95.28
572124,2018-02-21,9.98,80.53,28,1828.94,49.99,95.83
572124,2018-02-22,8.97,91.3,13,2391.93,21.71,40.61
572124,2018-02-23,6.69,93.32,33,2695.86,48.72,93.08
572124,2018-02-24,10.98,84.21,18,4113.97,41.33,79.4
572124,2018-02-25,5.58,81.26,37,2318.27,17.63,41.95
572124,2018-02-26,9.11,88.16,26,2258.23,96.89,151.43
572124,2018-02-27,5.22,96.01,48,1470.65,19.29,65.24
572124,2018-02-28,11.53,88.72,49,3179.33,35.68,89.61
572124,2018-03-01,6.54,87.4,25,2338.21,91.58,136.29
